('00:32:B2:RT:37:DZ', '192.168.1.109', '2020-12-13', '22:31:50.724418', 'Request by 00:32:B2:RT:37:DZ with the IP 192.168.1.109 at 2020-12-13 22:31:50.724418 for the website google.fr')
('00:15:5D:B7:B1:48', '192.168.1.110', '2020-12-13', '23:00:09.499407', 'Request by 00:15:5D:B7:B1:48 with the IP 192.168.1.110 at 2020-12-13 23:00:09.499407 for the website rien.fr')
('00:37:D6:V3:32:02', '192.168.1.111', '2020-12-13', '23:00:21.819825', 'Request by 00:37:D6:V3:32:02 with the IP 192.168.1.111 at 2020-12-13 23:00:21.819825 for the website google.com')
('00:15:5D:B7:B1:48', '192.168.1.113', '2020-12-13', '23:03:53.851328', 'Request by 00:15:5D:B7:B1:48 with the IP 192.168.1.113 at 2020-12-13 23:03:53.851328 for the website google.com')
('00:M1:CJ:V3:32:02', '192.168.1.115', '2020-12-13', '23:08:08.136719', 'Request by 00:M1:CJ:V3:32:02 with the IP 192.168.1.115 at 2020-12-13 23:08:08.136719 for the website facebook.fr')
('00:00:0A:BB:28:FC', '192.168.1.117', '2020-12-13', '23:12:06.270337', 'Request by 00:00:0A:BB:28:FC with the IP 192.168.1.117 at 2020-12-13 23:12:06.270337 for the website google.com')
('00:15:5D:B7:B1:48', '192.168.1.119', '2020-12-13', '23:14:59.876884', 'Request by 00:15:5D:B7:B1:48 with the IP 192.168.1.119 at 2020-12-13 23:14:59.876884 for the website google.fr')
('00:M1:CJ:V3:32:02', '192.168.1.121', '2020-12-13', '23:32:25.075420', 'Request by 00:M1:CJ:V3:32:02 with the IP 192.168.1.121 at 2020-12-13 23:32:25.075420 for the website facebook.com')
('00:P9:0A:BB:86:FC', 'N', '2020-12-13', '23:35:10.297133', 'Request by 00:P9:0A:BB:86:FC with the IP N at 2020-12-13 23:35:10.297133 for the website leonard-de-vinci.net')
('00:00:0A:BB:28:FC', 'N', '2020-12-13', '23:41:39.916072', 'Request by 00:00:0A:BB:28:FC with the IP N at 2020-12-13 23:41:39.916072 for the website yahoo.fr')
('00:P9:0A:BB:86:FC', 'N', '2020-12-13', '23:43:11.242728', 'Request by 00:P9:0A:BB:86:FC with the IP N at 2020-12-13 23:43:11.242728 for the website yahoo.net')
